id,project_id,phase_id,description,materials,labor,vendor,estimated_cost,actual_cost,current_paid,due,sort_order,is_custom,created_at,updated_at
9799d6a1-60ca-45e4-83bf-5097d1e7a52b,faa2ce97-f51f-4379-a198-94f71aacc514,drywall,"Prep for Plaster, Drywall",100,300,"Vendor-Prep for Plaster, Drywall",400,550,150,400,81,FALSE,2025-10-12 02:33:56.828897+00,2025-10-12 02:33:56.828897+00
d868cebd-d64b-45a8-8ecc-be910fbe90fe,faa2ce97-f51f-4379-a198-94f71aacc514,rough-framing,Nails,3154.87,2548.74,GUTT43J,5703.61,3154.87,2548.74,606.13,81,FALSE,2025-10-12 01:53:00.475278+00,2025-10-12 01:53:00.475278+00
c711e329-2895-4a97-8c3b-dd882b08b23d,faa2ce97-f51f-4379-a198-94f71aacc514,roofing,"Flashing: Chimney, Vent Pipes, Sidewalls, Other Penetrations",100,300,"Vendor-Flashing: Chimney, Vent Pipes, Sidewalls, Other Penetrations",400,550,150,400,84,FALSE,2025-10-12 02:33:57.755123+00,2025-10-12 02:33:57.755123+00
1049195d-0e8c-4e21-b26c-b85c419f412f,8a1449f9-6f73-40ea-9df0-47d7529f83a1,pre-construction,Survey,500,300,ABC Surveying,800,850,850,0,1,FALSE,2025-10-30 00:44:05.906361+00,2025-10-30 00:44:05.906361+00
6d35d5a2-ec29-4f67-8387-7665f5499409,faa2ce97-f51f-4379-a198-94f71aacc514,pre-construction,All Inclusive,100,100,Vendor,200,300,150,150,1,FALSE,2025-10-07 01:31:42.995477+00,2025-10-07 01:31:42.995477+00
2f1f8d39-24b1-4974-8a99-4f1fbeaa600d,faa2ce97-f51f-4379-a198-94f71aacc514,utilities-septic,Well,4125.69,1987.45,WATER77F,6113.14,4125.69,1987.45,2138.24,29,FALSE,2025-10-12 01:52:59.705707+00,2025-10-12 01:52:59.705707+00
00244b0a-49f3-48ca-9867-11a8bbaaad1f,faa2ce97-f51f-4379-a198-94f71aacc514,pre-construction,Plans and Specifications,100,100,PlansSpecVendor,200,250,250,0,2,FALSE,2025-10-11 13:26:55.016203+00,2025-10-11 13:26:55.016203+00
2bc8f667-3207-4aa6-8cfc-a59df4226576,faa2ce97-f51f-4379-a198-94f71aacc514,utilities-septic,"Electrical: Permit, Connection Fee, Installation",100,300,"Vendor-Electrical: Permit, Connection Fee, Installation",400,550,150,400,32,FALSE,2025-10-12 02:33:45.435238+00,2025-10-12 02:33:45.435238+00
2cb0ae9c-68bb-41aa-a89c-d5d6d816dc68,faa2ce97-f51f-4379-a198-94f71aacc514,utilities-septic,Electrical: Permit,4125.69,1987.45,TELECOM43L,6113.14,4125.69,1987.45,2138.24,33,FALSE,2025-10-12 01:53:00.001162+00,2025-10-12 01:53:00.001162+00
57127ca1-77ec-44df-b91e-c158660e902a,faa2ce97-f51f-4379-a198-94f71aacc514,pre-construction,Plan Review,100,150,TestPlan,250,300,300,0,3,FALSE,2025-10-10 01:07:53.145949+00,2025-10-10 01:07:53.145949+00
