table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
postgres,public,baseline_construction_phases,id,1,gen_random_uuid(),NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,baseline_construction_phases,version,2,'1.0'::text,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,baseline_construction_phases,phases,3,null,NO,jsonb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,jsonb,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,baseline_construction_phases,is_active,4,true,YES,boolean,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,bool,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,baseline_construction_phases,created_at,5,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_items,id,1,gen_random_uuid(),NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_items,bid_id,2,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_items,budget_item_id,3,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_items,description,4,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_items,phase_id,5,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_items,materials_cost,6,0,YES,numeric,null,null,12,10,2,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,numeric,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_items,labor_cost,7,0,YES,numeric,null,null,12,10,2,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,numeric,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_items,total_cost,8,null,NO,numeric,null,null,12,10,2,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,numeric,null,null,null,null,8,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_items,created_at,9,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,bid_request_summary,id,1,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,NO
postgres,public,bid_request_summary,project_id,2,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,NO
