id,name,display_order,icon,description,applies_to_methods,is_multi_phase,typical_phases,created_at,updated_at
aef44d99-59e8-4064-aecf-41c3443c871a,Professional Services,1,📋,"Architects, Engineers, Designers","[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",false,"[""pre-construction""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
dc9977f6-7068-422f-86fb-39afe847dd6c,Site Work & Excavation,2,🚜,"Excavation, Septic, Well, Utilities","[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",false,"[""site-prep-excavation"",""utilities-septic""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
05186e0d-03cd-4092-9664-b55daf98612f,Foundation & Concrete,3,🏗️,"Foundation, Concrete Work","[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",false,"[""foundation"",""under-slab-services"",""concrete-slabs""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
512f73d1-eb50-4849-8c98-4f96951c2aa2,Post-Frame Builder,4,🏗️,Post-Frame Shell & Structure,"[""post-frame""]",false,"[""rough-framing""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
82381cc2-35c9-42fd-914f-70e77903bfc6,ICF Installer,5,🧱,ICF Forms & Installation,"[""icf""]",false,"[""foundation""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
491ef78d-a9dc-43ee-b747-f3e906a1b864,SIP Installer,6,🏗️,SIP Panel Installation,"[""sip""]",false,"[""rough-framing""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
64a4feb0-4d31-4137-b4ae-ee4e9a5596f2,Modular Home Dealer,7,🏠,Modular Home Delivery & Set,"[""modular""]",false,"[""rough-framing""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
bd2aaf08-be45-414b-92aa-e9ae161e6085,Framing Contractor,8,🔨,Traditional Framing,"[""traditional-frame"",""icf""]",false,"[""rough-framing"",""porches-decks""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
2d50ccd3-7969-4e94-9a72-a140dcb132e5,Roofing,9,🏠,Roofing Installation,"[""traditional-frame"",""icf"",""sip""]",false,"[""roofing""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
e2d34d7b-4ea6-4647-a6e9-825805623078,Plumbing,10,🚰,Plumbing - All Phases,"[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",true,"[""under-slab-services"",""plumbing-rough"",""kitchen-bath""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
17bc3db9-3420-4ac9-a87b-4b61d40d7e28,Electrical,11,⚡,Electrical - All Phases,"[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",true,"[""under-slab-services"",""electrical-rough"",""kitchen-bath"",""final-touches""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
ec19776b-fd1c-4623-99ac-7404ca73a0e1,HVAC,12,❄️,HVAC - All Phases,"[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",true,"[""hvac-rough"",""kitchen-bath""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
da59498a-f223-47e6-9f9d-85c241df0322,Exterior Finishes,13,🎨,"Siding, Windows, Doors","[""traditional-frame"",""icf"",""sip""]",false,"[""exterior""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
e073ffce-3930-4bc5-8395-df66718a98d6,Insulation,14,🧱,Insulation & Air Sealing,"[""traditional-frame"",""post-frame"",""icf"",""modular"",""other""]",false,"[""insulation""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
d213acf7-233e-4fb4-a38c-49ee63b6eab2,Drywall,15,🪟,Drywall Installation,"[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",false,"[""drywall""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
d2771440-d904-4f8e-9978-eca0a2122963,Trim Carpentry,16,🪚,Interior Trim & Doors,"[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",false,"[""trim-carpentry""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
b473f271-38e1-42f1-a83d-fd3840e471fd,Painting,17,🎨,Interior & Exterior Paint,"[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",false,"[""paint""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
5d554201-0849-41e5-80b1-35dab4bc844d,Flooring,18,🏠,Finish Flooring,"[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",false,"[""flooring""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
c2dcec37-e9a2-44c9-a2c6-73a7d407b9b2,Cabinets & Countertops,19,🍳,Kitchen & Bath Finishes,"[""traditional-frame"",""post-frame"",""icf"",""sip"",""modular"",""other""]",false,"[""kitchen-bath""]",2025-11-02 01:28:17.8481+00,2025-11-02 01:28:17.8481+00
